report: reports/scan-hash-v72-post-mirror-cleanup.json
count: 1375
total_bytes: 2544872626

By extension:
- .db: 672
- .au: 565
- .pdf: 30
- <none>: 25
- .mp3: 23
- .xml: 20
- .kdenlive: 12
- .mka: 5
- .wmv: 4
- .lvix: 4
- .wav: 3
- .phd: 2
- .xcf: 2
- .aup: 2
- .log: 2
- .flv: 1
- .ogg: 1
- .osp: 1
- .svg: 1

Files:
- /home/gabriel/Pictures/2007/11/22/Thumbs.db | ext=.db | size=16384 | date_source=path | proposed=None
- /home/gabriel/Pictures/2007/11/25/Thumbs.db | ext=.db | size=153600 | date_source=path | proposed=None
- /home/gabriel/Pictures/2007/12/02/Thumbs.db | ext=.db | size=13312 | date_source=path | proposed=None
- /home/gabriel/Pictures/2007/12/13/Thumbs.db | ext=.db | size=43520 | date_source=path | proposed=None
- /home/gabriel/Pictures/2007/12/15/Thumbs.db | ext=.db | size=36864 | date_source=path | proposed=None
- /home/gabriel/Pictures/2007/12/18/Thumbs.db | ext=.db | size=43008 | date_source=path | proposed=None
- /home/gabriel/Pictures/2007/12/21/Thumbs.db | ext=.db | size=32768 | date_source=path | proposed=None
- /home/gabriel/Pictures/2007/12/22/Thumbs.db | ext=.db | size=14848 | date_source=path | proposed=None
- /home/gabriel/Pictures/2007/12/23/Thumbs.db | ext=.db | size=31232 | date_source=path | proposed=None
- /home/gabriel/Pictures/2007/12/24/Thumbs.db | ext=.db | size=10240 | date_source=path | proposed=None
- /home/gabriel/Pictures/2007/12/25/Thumbs.db | ext=.db | size=20480 | date_source=path | proposed=None
- /home/gabriel/Pictures/2007/12/28/Thumbs.db | ext=.db | size=82432 | date_source=path | proposed=None
- /home/gabriel/Pictures/2007/12/31/Thumbs.db | ext=.db | size=91648 | date_source=path | proposed=None
- /home/gabriel/Pictures/2008/01/05/Thumbs.db | ext=.db | size=165376 | date_source=path | proposed=None
- /home/gabriel/Pictures/2008/01/10/Thumbs.db | ext=.db | size=12800 | date_source=path | proposed=None
- /home/gabriel/Pictures/2008/01/21/Thumbs.db | ext=.db | size=9216 | date_source=path | proposed=None
- /home/gabriel/Pictures/2008/01/26/Thumbs.db | ext=.db | size=67072 | date_source=path | proposed=None
- /home/gabriel/Pictures/2008/01/27/Thumbs.db | ext=.db | size=32256 | date_source=path | proposed=None
- /home/gabriel/Pictures/2008/01/30/Thumbs.db | ext=.db | size=14336 | date_source=path | proposed=None
- /home/gabriel/Pictures/2008/02/06/Thumbs.db | ext=.db | size=28672 | date_source=path | proposed=None
- /home/gabriel/Pictures/2008/02/08/Thumbs.db | ext=.db | size=31232 | date_source=path | proposed=None
- /home/gabriel/Pictures/2008/02/12/Thumbs.db | ext=.db | size=14336 | date_source=path | proposed=None
- /home/gabriel/Pictures/2008/02/13/Thumbs.db | ext=.db | size=36352 | date_source=path | proposed=None
- /home/gabriel/Pictures/2008/02/14/Thumbs.db | ext=.db | size=23040 | date_source=path | proposed=None
- /home/gabriel/Pictures/2008/02/15/Thumbs.db | ext=.db | size=85504 | date_source=path | proposed=None
- /home/gabriel/Pictures/2008/02/16/Thumbs.db | ext=.db | size=35840 | date_source=path | proposed=None
- /home/gabriel/Pictures/2008/02/18/Thumbs.db | ext=.db | size=11264 | date_source=path | proposed=None
- /home/gabriel/Pictures/2008/02/22/Thumbs.db | ext=.db | size=12800 | date_source=path | proposed=None
- /home/gabriel/Pictures/2008/02/29/Thumbs.db | ext=.db | size=52224 | date_source=path | proposed=None
- /home/gabriel/Pictures/2008/03/23/Thumbs.db | ext=.db | size=38912 | date_source=path | proposed=None
- /home/gabriel/Pictures/2008/04/11/Thumbs.db | ext=.db | size=32768 | date_source=path | proposed=None
- /home/gabriel/Pictures/2008/04/13/Thumbs.db | ext=.db | size=25088 | date_source=path | proposed=None
- /home/gabriel/Pictures/2008/04/16/Thumbs.db | ext=.db | size=77824 | date_source=path | proposed=None
- /home/gabriel/Pictures/2008/04/17/Thumbs.db | ext=.db | size=504832 | date_source=path | proposed=None
- /home/gabriel/Pictures/2008/04/18/Thumbs.db | ext=.db | size=14848 | date_source=path | proposed=None
- /home/gabriel/Pictures/2008/04/19/Thumbs.db | ext=.db | size=74240 | date_source=path | proposed=None
- /home/gabriel/Pictures/2008/04/20/Thumbs.db | ext=.db | size=15360 | date_source=path | proposed=None
- /home/gabriel/Pictures/2008/05/02/Thumbs.db | ext=.db | size=24576 | date_source=path | proposed=None
- /home/gabriel/Pictures/2008/05/19/Thumbs.db | ext=.db | size=15360 | date_source=path | proposed=None
- /home/gabriel/Pictures/2008/06/15/Thumbs.db | ext=.db | size=10752 | date_source=path | proposed=None
- /home/gabriel/Pictures/2008/06/17/Thumbs.db | ext=.db | size=15360 | date_source=path | proposed=None
- /home/gabriel/Pictures/2008/06/30/Thumbs.db | ext=.db | size=14848 | date_source=path | proposed=None
- /home/gabriel/Pictures/2008/08/04/Thumbs.db | ext=.db | size=25600 | date_source=path | proposed=None
- /home/gabriel/Pictures/2008/09/03/Thumbs.db | ext=.db | size=10752 | date_source=path | proposed=None
- /home/gabriel/Pictures/2008/09/28/Thumbs.db | ext=.db | size=15872 | date_source=path | proposed=None
- /home/gabriel/Pictures/2008/10/29/Thumbs.db | ext=.db | size=21504 | date_source=path | proposed=None
- /home/gabriel/Pictures/2008/11/11/Thumbs.db | ext=.db | size=7680 | date_source=path | proposed=None
- /home/gabriel/Pictures/2008/11/12/Thumbs.db | ext=.db | size=68608 | date_source=path | proposed=None
- /home/gabriel/Pictures/2008/11/14/Thumbs.db | ext=.db | size=47616 | date_source=path | proposed=None
- /home/gabriel/Pictures/2008/11/18/Thumbs.db | ext=.db | size=11776 | date_source=path | proposed=None
- /home/gabriel/Pictures/2008/11/19/Thumbs.db | ext=.db | size=26624 | date_source=path | proposed=None
- /home/gabriel/Pictures/2008/11/20/Thumbs.db | ext=.db | size=21504 | date_source=path | proposed=None
- /home/gabriel/Pictures/2008/11/21/Thumbs.db | ext=.db | size=28160 | date_source=path | proposed=None
- /home/gabriel/Pictures/2008/11/24/Thumbs.db | ext=.db | size=10240 | date_source=path | proposed=None
- /home/gabriel/Pictures/2008/12/02/Thumbs.db | ext=.db | size=32256 | date_source=path | proposed=None
- /home/gabriel/Pictures/2008/12/03/Thumbs.db | ext=.db | size=28160 | date_source=path | proposed=None
- /home/gabriel/Pictures/2008/12/04/Thumbs.db | ext=.db | size=12800 | date_source=path | proposed=None
- /home/gabriel/Pictures/2008/12/05/Thumbs.db | ext=.db | size=36352 | date_source=path | proposed=None
- /home/gabriel/Pictures/2008/12/11/Thumbs.db | ext=.db | size=38912 | date_source=path | proposed=None
- /home/gabriel/Pictures/2008/12/12/Thumbs.db | ext=.db | size=27136 | date_source=path | proposed=None
